author_id,first_name,last_name,birthday,deathday
1,Philip,Pullman,1946-10-19,null
2,William ,Shakespeare,1564-04-26,1616-04-23
3,Paulo,Coelho,1947-08-24,null
4,Agatha ,Christie,1890-09-15,1976-01-12
5,Amy,Tan,1952-02-19,null
6,Jane ,Austen,1775-12-16,1817-07-18
7,Emily,Bronte,1818-07-30,1848-12-19
8,Margaret ,Atwood,1939-11-18,null
9,Octavia,Butler,1947-06-22,2006-02-24
10,Louisa May,Alcott,1832-11-29,1888-03-06
11,Louise ,Penny,1958-07-01,null
12,Salman,Rushdie,1947-06-19,null
13,Mo,Willems,1968-02-11,null
14,Beverly,Cleary,1916-04-12,null
15,Peter,Vollhardt,1946-03-07,null
16,Maya,Angelou,1928-04-04,2014-05-28
17,Toni,Morrison,1931-02-18,2019-08-05
18,Shirley,LeFlore,1940-03-06,2019-05-12
